receptor,gauss_1,gauss_2,repulsion,hydrophobic,hydrogen_bonding,tors,exp_binding_affinity
2bvs,104.259,1478.32,6.40371,17.922,2.62384,4.2,4.1
2byr,124.931,2162.47,4.17143,60.8722,1.21326,3.6,8.55
2bys,120.114,1703.57,3.80396,94.0831,1.90249,2.3,9.52
2bz6,121.899,1479.11,3.8597,15.3112,5.65975,2.9,7.09
2bza,47.371,537.973,1.58357,5.12008,2.42086,1.3,2.8
2c1p,84.2525,1362.43,1.22954,48.3585,0.779659,2.1,5.4
2c3l,62.4264,1037.09,5.13539,32.1728,2.36973,1,5.07
2c80,104.29,1206.07,6.43901,25.5259,9.5511,4.3,5.33
2c92,165.174,1829.52,9.38851,7.00006,13.4797,3.4,5.68
2c94,151.965,1833.63,6.72829,7.24081,11.1353,3.6,6.82
2c97,83.8948,1028.31,4.21883,13.7497,5.93434,2.2,6.14
2ca8,72.4304,907.869,7.9086,1.27374,9.39699,3.2,4.66
2cbj,87.5756,1258.55,6.07984,17.7006,8.64439,2.3,8.27
2cbu,87.291,886.232,6.61457,11.0889,9.14785,1.4,5.68
2cbz,118.633,953.815,5.48414,0,9.45692,2.8,3.93
2cc7,82.7389,898.57,3.26533,18.2406,1.96805,1,8.01
2ccb,90.7404,854.378,3.00275,20.2159,2.31214,2.4,7.45
2ccc,84.828,930.607,2.73288,18.1484,1.89394,1,7.76
2ce9,95.77,1582.27,3.34034,69.1868,4.1376,4.9,6.03
2cej,151.086,2535.26,4.85167,102.601,5.02599,3.8,8.62
2cen,151.205,2592.53,4.58094,111.744,5.13693,4,8.3
2ceq,95.1039,991.635,8.65509,0,10.3524,1.6,7.28
2cer,107.2,1433.74,7.71784,13.9031,10.525,2.2,9.22
2ces,95.5863,973.421,8.0611,0,10.7468,1.6,7.25
2cex,53.7666,1129.17,3.22928,7.71361,5.26938,2.4,4.7
2cf8,105.722,1711.36,2.85361,59.5229,3.7655,2.1,8.1
2cf9,110.069,1727.91,3.03508,49.6412,4.12356,2.3,7.82
2cgf,66.1737,1242.61,1.99095,30.4333,1.26926,1.2,6.41
2cgr,127.582,1338.61,3.01859,45.4257,3.74257,2.2,7.28
2cht,77.618,971.442,3.31914,15.1711,5.02847,1.5,5.52
2cle,75.6167,1201.25,4.79717,42.4245,4.59333,2.4,3.55
2clh,96.9631,1452.35,6.09718,68.047,5.7491,2.2,4.06
2cli,94.3186,1522.42,5.22233,45.9566,5.29564,2.6,4.3
2clk,62.8363,742.108,3.92924,0,6.34902,2,3.79
2cn0,118.024,1761.38,2.27197,51.3584,3.46418,2.1,7.66
2csn,49.2466,954.597,1.50333,29.0866,0,1.9,4.41
2ctc,50.0943,838.207,3.91941,28.4499,5.11333,1.7,3.89
2d0k,87.0832,1325.1,2.86014,24.2419,4.47955,3,5.02
2d1n,126.078,1795.44,6.55901,48.8329,8.5894,4.8,8.15
2d1o,103.695,1735.59,6.23484,51.1741,8.19791,4.8,7.7
2d3u,82.3279,1231.8,2.98475,70.5567,2.78739,2,6.92
2d3z,76.0484,1157.3,3.07802,70.1394,3.61929,2,6.64
2doo,103.41,1488.08,2.90801,41.0407,0.121721,3.1,7.17
2drc,93.8767,1431.93,4.71716,36.1199,7.28524,3.2,9.89
2dri,78.4838,737.911,5.82198,0,10.1016,1.4,6.89
2dw7,61.9875,748.905,9.44534,0,10.6891,1.8,4.7
2e1w,89.5983,1298.33,3.03243,45.8373,3.59341,2.3,7.96
2e27,95.9351,1396.75,1.98503,32.8461,2.00781,2.1,9.35
2e2p,98.2354,1235.43,3.19677,0,5.32735,2.4,4.74
2e2r,64.8663,1126.32,2.21802,79.3073,2.64302,1.6,8.26
2e5y,106.758,1156.02,6.85495,0,10.713,2.9,5.85
2e7f,86.309,1458.49,6.40495,16.3538,9.06981,2.8,6.1
2e91,47.9698,864.276,3.58673,0,4.02265,1.9,6.59
2e92,61.0632,1070.26,5.29497,12.4919,4.11591,1.9,6.89
2e94,70.7536,1497.74,4.43158,66.09,3.74543,2.3,8
2e9u,73.8617,1423.17,1.46305,17.2314,1.60508,1,8.1
2eg7,71.4227,816.865,5.50878,1,7.87429,1.4,5.89
2eg8,51.8387,718.499,3.40199,0.930352,6.7548,1.2,4.5
2epn,94.495,918.352,4.85396,13.9664,5.36773,1.5,7.22
2erz,71.2663,1372.34,5.19271,40.181,3.19994,1.4,5.66
2euk,145.344,2397.56,4.39485,175.32,7.00831,9.6,6.6
2eum,99.3131,1686.23,4.30903,60.356,4.75911,7.7,6.7
2evl,125.588,2052.48,4.88175,132.029,6.11607,8.2,6.7
2ewa,129.956,1407.17,3.13529,88.4795,0,1.4,7.94
2ewb,55.6705,970.038,2.25642,11.5401,1,2.1,6.1
2ews,160.654,1686.19,7.95766,0,9.33128,2.9,6.62
2exm,49.7809,938.219,2.4855,8.71277,1.3371,1.6,4.11
2ez7,24.8893,470.379,3.07571,0.197635,0.616524,1.7,4.36
2f1g,99.3144,1566.15,7.99867,19.2335,3.3994,3,7.54
2f2h,106.48,1732.87,7.98848,16.4649,10.7601,2.8,5.7
2f34,73.5943,1143.45,3.67824,7.24112,7.40553,2.3,6.89
2f35,67.9859,1088.69,3.47936,9.38474,7.35987,2.3,5.4
2f6t,97.5083,1221.62,3.70541,47.3999,5.31613,2,4.62
2f7i,47.4687,1052.68,4.44812,48.9926,2.17878,1.4,7.1
2f7o,65.2861,762.018,7.8353,0,11.1449,1.6,7.44
2f7p,88.7712,1082.01,8.81795,5.43517,10.5627,2.1,6.6
2f80,123.829,2058.99,6.98101,51.9991,6.49986,3.6,8.18
2f81,122.895,2078.28,8.53978,48.7161,6.1133,3.6,10.52
2f8g,121.35,2076.38,7.30743,53.7649,6.59773,3.6,8.7
2f94,70.7678,1176.44,3.70657,26.2939,3.5799,2.9,6.71
2f9k,56.9812,946.988,4.90018,0,6.31922,1.9,7.07
2fdp,143.824,2161.31,6.66261,80.5472,9.22539,3.9,7.59
2fgu,148.461,2408.63,6.29096,87.0486,6.06137,3.5,9.18
2fgv,140.489,2452.78,4.91087,80.1236,6.12757,3.5,6.12
2fle,188.765,2691.17,7.74637,89.2107,9.37648,5,7.85
2flr,125.132,1413.57,5.47504,44.1647,5.30294,1.9,6.1
2fmb,149.817,2477.16,7.72015,68.7827,9.76068,5.1,8.7
2fpz,60.0014,670.539,2.97802,4.85172,3.96089,1.1,3.96
2fqo,80.5441,1155.05,5.74056,2.65871,9.10249,3,6.43
2fqt,77.8041,1161.71,7.09362,2.73524,9.80063,3,6.14
2fqw,105.874,1234.28,4.96367,0,7.25434,1.7,6.68
2fqx,113.872,1276.44,5.14205,0,8.02678,1.8,7.15
2fqy,115.364,1322.58,6.23296,0,7.69385,1.8,6.57
2fu8,46.2835,648.539,2.07565,8.57646,1.31519,1.7,4.7
2fw6,76.1862,897.128,6.20813,1.87532,8.64837,2.1,2.92
2fx6,62.6425,646.782,2.50767,5.96364,3.7831,1.1,3.7
2fxu,131.872,1787.09,2.84572,95.6509,3.34943,4.8,8.15
2fxv,118.81,1378.08,6.91993,0,8.80346,2,5.35
2fzc,57.8819,939.293,6.35814,0,7.46404,2.4,2.7
2fzg,88.1447,1330.36,14.1559,1.81383,5.25644,2.2,3.38
2fzk,82.8777,1590.13,17.0181,1.56764,11.0057,2.4,3.6
2g5u,45.6466,1049.01,0.255637,39.2027,0,1.4,8.49
2g70,87.0427,1023.63,1.89979,42.3853,2.09234,1.5,7.77
2g71,119.062,1539.07,6.49483,63.3425,1.54,2.2,7.46
2g72,101.301,1416.59,2.74752,49.2714,1,1.6,6.5
2g8r,57.0397,823.684,3.04256,9.29081,2.90626,2,3.99
2g94,168.246,2288.85,7.89785,52.5574,9.31097,4.9,9.52
2g9q,45.59,591.011,4.24794,0,6.50651,1.5,6.4
2gh9,127.088,1848.9,5.86327,0,9.509,3.5,6
2gj5,43.1719,1082.91,2.27337,70.2939,0.755802,2.5,8.32
2gkl,41.5353,658.182,2.50059,9.86803,3.88112,1.4,5.35
2gl0,100.465,1009.42,3.50942,0,3.12912,1.8,4.82
2glp,105.198,1281.62,4.04415,39.8461,0.168805,1.8,5.01
2gss,46.9526,752.09,0.587244,34.2561,0.55905,2.2,4.94
2gst,121.764,1704.83,7.86074,41.5895,9.89151,3.4,6.07
2gsu,77.1995,1283.38,4.90933,0,4.71364,2,3.59
2gv6,99.661,1432.56,4.78495,9.61868,6.69908,3.1,7.34
2gv7,124.371,1855.39,5.91688,9.86751,8.27437,3.4,7.85
2gvj,128.878,1777.09,3.30101,92.5033,1.31891,2.6,9.52
2gvv,48.1001,912.354,2.70645,27.7674,3.84242,1.9,3.9
2gyi,58.0857,719.165,4.53557,0,6.33987,2.1,7
2gz2,85.4445,1156.21,5.30442,0,7.24692,2.4,5.22
2gzl,145.719,2367.08,5.14285,49.4367,6.69735,3.9,4.82
2h15,65.1342,1219.06,4.71987,12.5721,4.58625,1.7,5.67
2h21,111.635,1560.68,5.82337,0.303552,6.16448,2.8,6.54
2h3e,102.224,1174.53,9.38024,2.74092,18.3417,2.2,5.7
2h4g,77.9034,1066.15,3.63844,25.7141,4.15476,2.1,6.52
2h4k,74.4468,1053.67,3.9479,28.811,4.20118,2,5.49
2h4n,41.6082,685.474,1.4582,3.26675,3.68881,1.5,8.7
2h5a,66.9491,891.213,5.66047,0,10.2139,1.7,5.1
2h6b,59.5012,788.778,5.02744,35.7175,5.60947,1.5,5.39
2h6t,133.809,1956.78,7.70192,55.7522,9.47479,5.6,7.22
2ha2,65.3861,1180.05,3.32961,18.0822,0.988986,3.2,4.66
2ha3,39.9613,456.227,1.17383,0,1,1.5,3.03
2ha5,42.1077,659.565,0.200521,6.91092,0,1.8,4.34
2ha6,72.939,1172.31,1.82203,18.419,0.0705045,3.2,4.32
2hah,98.728,1470.06,4.72874,48.1709,5.30879,3.3,8
2haw,60.6412,571.627,4.76967,0,6.81867,1.4,4.92
2hb3,120.742,2097.88,3.62442,66.8596,4.878,3.8,11.35
2hf8,157.184,1921.34,8.61931,0,15.0113,2.8,5.47
2hhn,140.549,1954.32,9.60116,43.9346,3.11465,3.4,7.49
2hjb,64.2002,695.407,2.44508,27.6216,1.77549,1.5,4.39
2hkf,138.302,2284.95,6.19541,38.0448,9.19886,6.1,6.38
2hl4,62.4536,999.514,2.15649,18.2984,2.85841,2.3,7.64
2hmu,113.53,1480.74,3.73381,0,4.37157,2.9,7.7
2hmv,101.966,1320.39,3.95973,0,4.35627,2.5,7.7
2hnc,40.9694,594.801,1.93485,0,3.32396,1.4,7.22
2hnx,55.1802,1056.12,1.70333,55.37,2.45277,3.8,7.08
2hoc,68.5822,1029.01,2.57614,18.4021,2.75099,1.8,9.52
2hs1,115.003,2075,5.91633,51.1223,6.21865,3.6,8.48
2hu6,104.547,1507.1,3.91531,45.6164,2.47867,1.9,3.81
2hw2,109.95,2241.2,1.48907,77.1916,0.506332,2.5,2.97
2hxm,108.459,1202.93,4.6097,14.6928,7.68126,2.8,5.22
2hzl,45.5213,440.58,3.84174,10.2189,5.33977,1.3,6.57
2hzy,98.923,1104,7.20097,11.7465,10.5219,2.2,7.39
2i0a,122.799,2198.07,5.0191,54.4401,4.27376,3.9,11.4
2i19,51.9525,958.979,6.70571,15.9944,5.34861,1.8,7.8
2i2b,68.3868,900.498,3.74007,0,5.4283,1.5,2.44
2i2c,125.287,1745.1,6.16575,0,7.49067,2.9,4.7
2i3h,100.914,1249.78,4.10616,44.6477,4.37609,2.9,7.4
2i3i,109.556,1200.77,3.15779,44.9645,3.31423,2.2,7.3
2i3v,69.535,704.501,5.76809,12.5111,9.46919,1.9,6.55
2i4d,133.531,2302.27,5.59475,41.1087,5.41094,4.3,11.68
2i4j,101.833,1984.91,12.0048,85.1948,4.70616,3.8,6.16
2i4u,119.849,2116.36,5.3714,48.4202,5.07829,3.7,11.57
2i4v,122.167,2091.42,5.57463,47.1749,5.6565,3.7,11.2
2i4w,151.158,2419.58,7.17379,51.9851,5.69383,5.1,11.59
2i4x,154.955,2400.27,6.71208,48.3875,5.91891,5.1,11.72
2i4z,108.959,1978.01,11.27,76.4484,3.94037,3.8,5.7
2i6b,94.5547,1205.48,5.41764,60.4284,1.7944,2.1,7.17
2i80,87.5878,1184.63,3.14549,47.8518,1.02163,1.8,5.4
2idw,118.12,1960.08,5.10436,46.7861,6.30952,3.6,8.89
2igv,46.2266,612.322,2.98088,16.3921,4.51728,1.8,2.23
2ihj,138.059,2277.02,8.52758,6.35953,12.6057,3.9,4.59
2ihq,107.516,1525.07,5.60218,50.8287,2.36735,1.2,8.49
2iko,88.1423,1362.83,2.37455,52.287,4.38275,2.1,5.45
2il2,154.527,2290.01,4.23037,66.7069,5.27695,3.5,7.1
2isw,74.1524,692.208,7.88151,0,10.2644,1.7,7.43
2iuz,165.536,1276.31,5.60775,0,1.08194,1.6,5.55
2iw4,59.1153,585.194,5.04807,0,8.39242,1.4,9.3
2izl,76.1105,1104.83,2.76292,27.2303,4.67063,2.1,6
2j27,47.5995,608.39,4.12876,0,5.17859,1.6,3.52
2j2u,127.807,1537.87,3.58228,22.0219,0.42215,2,7.33
2j34,118.104,1440.83,2.11871,18.9689,0.250662,2,7.82
2j47,98.0656,1396.66,6.82624,28.2761,9.83929,2.1,5.41
2j4g,95.0556,1149.43,4.91223,37.5031,5.67793,1.9,6.6
2j4i,140.286,1739.55,4.1556,44.7074,1.0967,3,9
2j62,118.727,1745.91,6.33726,64.6818,8.58051,2.5,11.34
2j75,76.0898,760.712,5.83524,3.83744,10.6749,1.6,6.65
2j77,80.3946,764.872,6.65623,0,9.20065,1.6,4.89
2j79,88.2422,908.624,7.54624,0,11.8186,1.7,5.96
2j7b,91.0832,972.297,8.27052,0,10.5595,1.6,6.62
2j7d,109.756,1207.52,8.04615,0,10.818,2.1,7.13
2j7e,111.087,1270.26,8.60834,4.13477,10.9916,2.2,7.32
2j7f,106.615,1164.96,9.9713,0,11.4458,1.8,6.35
2j7g,99.14,1204.69,7.96303,4.67445,10.4951,2,7
2j94,122.959,1539.66,3.03749,17.1686,0.893503,2.2,6.27
2j95,113.381,1491.49,2.46241,22.2099,0.471366,2.2,8.4
2jdh,56.6736,830.917,5.32371,1,9.52623,2.8,6.51
2jdk,56.7919,837.115,5.24182,1,9.58496,2.9,6.54
2jdm,48.3391,587.852,4.64991,0.940954,9.73144,1.5,5.4
2jdp,44.8321,589.389,4.24746,2,7.10313,1.5,6.6
2jds,111.283,1744.86,4.818,49.9434,3,2.3,8.2
2jdu,51.8063,652.868,5.56204,1,10.9835,1.5,6.72
2jew,66.4867,1006.9,3.32063,19.4067,4.70035,2.7,6.69
2jf4,113.304,1723.52,7.32881,19.7242,13.9271,2.6,8.15
2jfh,71.2497,1154.11,3.761,20.4134,3.90143,3.2,3.06
2jfz,119.468,1467.91,1.51388,65.5303,0,2,5.24
2jg0,137.487,1947.14,8.80816,0,12.4228,2.4,7.82
2jgs,74.3913,1121.67,4.32549,33.8311,4.85638,2.1,6.62
2jh0,120.6,1469.64,3.34994,15.8553,1.24604,2.2,8.7
2jh5,114.397,1425.86,3.17126,13.6835,1.47716,2.2,6.44
2jh6,116.218,1422.49,2.19675,15.5204,1.01178,2.4,7.77
2jiw,90.409,1074.12,5.00149,19.1848,7.85229,1.8,4.59
2jjb,107.069,1772.22,6.5906,0,11.0832,2.6,7.92
2jke,57.7548,770.036,3.96599,0,6.1099,1.6,4.23
2jkh,109.919,1539.8,1.35515,12.5473,0.155445,2,8.05
2jkp,66.3524,893.995,5.30138,10.887,6.08184,1.4,4.23
2jxr,117.495,2073.8,5.4546,62.243,7.18533,4.2,7.05
2mas,71.3028,1190.05,4.36705,22.8357,6.78118,1.8,7.52
2nmx,54.1519,848.161,1.98575,17.5613,2.72373,1.9,5.57
2nmz,136.696,2382.51,6.09226,67.6272,4.98515,3.8,8.37
2nn1,50.8395,828.878,1.5687,18.5168,2.29825,1.9,5.82
2nn7,58.2545,896.138,1.96169,22.4802,2.84228,2.3,6.52
2nnd,46.2413,799.69,1.25645,27.4709,1,1.6,6.06
2nsj,98.8558,1277.01,9.79101,0,12.5754,2.2,4.79
2nsl,88.3805,1278.54,8.10588,0,12.1439,2.2,4.68
2nt7,123.151,1886.88,7.12288,35.9959,5.48972,3,6.52
2nta,99.293,1115.72,5.28056,29.275,4.66234,1.4,4.8
2o0u,110.431,1673.03,1.29648,70.8966,0.934347,1.8,5.49
2o4j,92.9737,1975.1,3.13234,100.41,5.16178,2.3,10.1
2o4k,161.925,2541.69,6.89025,98.8733,7.75272,4.7,10.46
2o4l,149.798,2199.97,4.79548,73.9983,5.69015,3.5,9.22
2o4n,160.444,2216.45,5.52704,86.9782,6.2008,3.5,7.82
2o4p,142.75,2188.71,5.34697,78.3699,5.55534,3.5,10.72
2o4r,88.664,1990.11,3.53436,96.1319,5.43098,2.3,9.4
2o4s,153.269,2387.94,6.13171,99.2002,5.96291,4.1,10.51
2o4z,33.0412,378.663,2.05791,0,2.89192,1.4,6.25
2o8h,87.8261,1244.21,2.30383,43.5106,1.31903,2,7.6
2oag,120.804,1582.5,4.16042,40.8559,3.29345,1.9,8.47
2oax,99.3022,1838.35,2.14932,65.6359,1.21034,1.4,8.65
2obf,122.996,1553.46,5.31262,79.1748,2.63702,1.9,8.85
2oc2,157.574,2463.93,8.49815,69.7335,7.39756,3.4,8.52
2ogy,74.327,1414.76,4.86829,13.8813,6.16209,2.8,4.48
2oi0,72.0064,1190.56,2.8902,24.4474,1.46781,2.1,7.55
2oi2,62.0314,1120.35,5.81593,9.79632,6.15947,2.7,6.3
2oiq,134.203,2122.98,4.65992,55.5788,3.67843,2.4,5
2ojg,75.4081,1272.18,2.64504,36.4631,2.41849,1.6,5.64
2ojj,91.6017,1625.59,3.30059,48.8814,3.20625,2.3,8.7
2olb,146.209,1856.75,7.06174,33.4362,12.6641,4.8,5.54
2ole,78.5259,1372.41,6.94111,42.08,2,2.5,7.25
2on6,91.171,1196.36,4.88863,1.10686,2.67007,1.8,6.76
2ot1,80.9332,800.774,1.62481,34.317,0,1.6,4
2ov4,155.199,2088.08,13.8098,0,15.1817,3.2,4.74
2ovv,78.4577,1276.58,0.834956,51.4564,0.783084,2,7.92
2ovy,79.2451,1252.79,1.12029,34.1019,0.548973,2,8.4
2oxd,59.2277,897.145,3.37411,34.7239,0,1,6.82
2oxn,65.0283,942.265,5.15922,6.56222,5.47708,2.3,7.44
2oxx,59.5054,861.197,2.04109,31.2154,0,1,6.7
2oxy,48.4216,770.389,1.20707,31.1624,0,1,6.52
2oym,88.7399,1243.29,5.15653,20.9538,6.06287,2.3,5
2p09,109.878,1162.91,5.2279,0,5.26495,2.8,6.35
2p16,133.893,1675.58,3.9356,48.6159,1.45367,2,10.1
2p2a,149.237,1666.17,8.49734,43.5785,9.68199,2.4,6.12
2p3a,155.48,2966.37,10.5145,87.3849,10.9977,6.2,7.96
2p3b,140.22,2803.38,10.0038,80.5285,9.10919,6.2,8.48
2p3c,184.223,2933.9,14.0612,93.188,12.9617,6.2,7.62
2p3i,50.9851,700.212,2.11146,9.70894,4.53414,2.6,3.48
2p4j,196.46,2495.41,9.1864,67.0372,10.2362,4.5,8.96
2p4s,110.569,1285.02,4.12482,7.62581,5.15016,1.8,9.51
2p53,86.2715,1296.54,5.6445,0,9.26316,2.3,7.46
2p7a,39.2949,618.718,1.56882,39.1178,1.26063,1.1,6.1
2p7g,67.8554,1128.47,3.0003,81.1888,2.85374,1.6,6.53
2p7z,83.3646,1665.61,3.74619,83.1461,1.72308,2.7,6.58
2p95,123.446,1522.32,2.49502,58.847,0.625401,2,9.37
2pbw,96.0282,1241.65,6.06178,29.6396,9.79047,2.4,8.25
2pcp,94.5419,1208.43,3.352,75.218,0.668995,1.4,8.7
2pfy,84.1558,654.259,5.69879,21.9665,8.70053,1.2,6.52
2pgz,99.2481,1214.98,2.27101,51.528,0.870301,2,5.74
2pk5,192.422,2793.43,8.08986,87.7465,7.36965,4,10.7
2pk6,176.997,2689.55,7.84337,85.1973,6.25426,4,10.89
2pmk,106.213,1035.99,6.05061,0,7.11713,2.8,5.92
2pnc,70.1679,804.575,2.68077,21.7045,1.64705,1.4,3.33
2pou,65.2414,990.237,2.30569,20.9838,3.78689,1.6,7.42
2pov,61.3214,984.552,1.78594,17.5479,3.69736,1.7,7.12
2pow,58.3357,1113.75,2.16044,15.1882,3.14159,1.9,7.2
2pq9,156.083,1699.53,13.3755,23.5321,21.9093,2.9,8.11
2pqb,131.698,1718.8,9.84805,11.0056,17.839,2.9,7.2
2pqc,120.293,1558.83,10.4572,8.60433,14.8485,2.5,5.74
2pql,78.6482,810.797,2.23166,43.822,3.1007,1.5,7.28
2pqz,114.48,2178.44,5.81336,77.1227,4.42786,3,5.67
2psu,107.534,1926.81,4.16481,54.3666,5.08909,3.9,7.62
2psv,102.504,1800.26,4.384,50.2247,5.18629,3.7,7.24
2ptz,68.8119,700.299,7.30238,0,10.2106,1.5,7.82
2pu1,69.7402,744.284,6.65332,0.766182,8.78863,1.5,5.85
2pu2,66.8116,1150.48,3.99433,37.9702,5.11399,2.1,4.43
2pv1,143.511,1997.33,8.01468,56.6001,5.92495,6,7.14
2pvh,81.5891,1353,1.7673,35.3981,0.838057,1.8,6.59
2pvj,100.215,1524.15,1.99234,28.8208,0.871296,2,8.1
2pvk,105.877,1594.03,1.94744,31.2004,0.721354,2,8.3
2pvl,98.2774,1523.38,1.87362,27.5113,0.846083,1.8,7.62
2pvm,96.9096,1494.65,2.00216,27.78,1,2.2,6.44
2pvu,83.9795,746.034,5.31677,23.248,8.60676,2.2,6.31
2pwc,119.127,2291.4,6.48266,62.7764,5.71191,3.2,6.57
2pwd,65.0995,766.273,8.04606,0,9.43306,1.6,4.4
2pwg,71.1801,888.907,7.15665,9.6189,7.2721,1.4,4.82
2pwr,158.693,2583.18,8.39441,77.136,7.80692,3.4,6.59
2py4,165.591,1890.29,11.5683,10.4521,16.5677,2.7,6.7
2pyi,112.156,1584.9,4.47843,7.43493,7.12533,2.4,3.75
2pym,117.418,2137.74,4.96365,67.728,5.15501,3.2,6.82
2pyn,113.935,2165.09,3.59312,68.3731,4.40709,3.2,7.57
2pyy,62.6844,686.19,5.26116,8.70976,8.90069,1.9,4.6
2q1q,50.0372,947.947,2.48459,19.004,2.82955,1.5,8.15
2q2a,107.563,897.218,7.7434,13.8075,12.1488,2.1,7.41
2q38,58.3048,759.252,3.05592,26.5966,2.55008,1,5.23
2q54,126.462,2367.92,6.30543,61.6618,6.82234,4.1,9.01
2q55,136.02,2457.37,6.65569,82.6184,6.73927,3.9,8.69
2q5k,141.773,2356.2,4.78605,90.1258,5.90628,4.1,11.3
2q63,120.601,2152.81,4.54049,65.2502,4.8037,3.2,7.18
2q64,119.141,2162.35,3.66545,69.5781,3.7688,3.2,8.52
2q6f,139.54,2153.56,12.1218,29.2914,6.29215,4.8,5.44
2q7q,56.1372,612.593,1.42467,31.7073,1.79791,1.3,5.3
2q7y,75.128,1771.46,1.71411,120.062,2.90737,6.7,4.3
2q88,85.8146,727.599,4.20075,19.2178,6.75594,1.2,5.8
2q89,92.9328,808.819,5.24733,11.7074,8.58981,1.3,6.3
2q8h,29.2718,426.666,2.38939,5.67684,0.6983,1.2,3
2q8m,93.1375,1206.47,5.80007,0,8.43803,2.1,4.03
2q8z,95.5385,1472.93,9.5161,4.55672,13.6545,2.1,5.68
2qbs,90.6866,1350.69,3.22309,29.9207,5.01191,2.4,6.68
2qbu,136.033,1577.51,7.57446,1.61276,11.1005,2.7,6.19
2qbw,203.599,2843.68,7.17272,45.6899,8.93607,5.9,7.25
2qci,122.8,2159.74,5.14778,44.9641,5.76904,3.5,8.34
2qd6,119.107,2112.06,5.53531,45.1836,4.93161,3.5,8.68
2qd7,123.599,2082.81,4.25072,44.2374,5.31342,3.5,9.1
2qd8,117.406,2137.35,6.24021,43.0575,4.98445,3.5,9.07
2qdt,37.5652,546.564,1.01202,5.45005,1,1.9,5.19
2qfo,38.5249,738.158,0.749423,13.2302,0.870222,1.3,4.7
2qft,72.6315,626.188,7.59652,0,10.6091,1.8,5.26
2qfu,72.7384,630.108,7.29474,0,10.4631,1.8,4.18
2qg0,92.9487,1437.86,2.52491,11.9373,2.57098,2.3,5.72
2qg2,90.3192,1355.16,1.86901,33.6522,1.44352,1.8,5.4
2qhd,38.4389,768.568,0.672222,22.2299,1.12936,3,5.38
2qhy,116.438,2113.85,4.65059,60.544,5.46887,3.5,7.48
2qhz,117.909,2178.64,3.61193,73.63,3.23401,3.5,7.28
2qi0,121.062,2175.24,5.6461,75.9745,3.89994,3.5,7.38
2qi1,124.991,2205.73,4.41662,63.9429,4.3193,3.7,7.3
2qi3,90.4097,1941.3,3.41909,46.5276,3.06679,3.8,10.2
2qi4,123.978,2087.25,4.27427,58.9568,4.0884,3.6,10.44
2qi5,121.991,2122.84,5.30501,65.308,5.11928,4.1,10.85
2qi6,123.929,2034.54,4.62176,57.0914,4.14836,3.4,10.57
2qi7,103.81,1963.42,5.58849,58.1313,4.15667,4.3,10.21
2qm9,91.0464,1771.93,8.78995,52.3963,4.87646,2.1,7.77
2qmg,162.541,2295.1,5.25184,70.235,6.9974,3.3,9.15
2qnn,156.517,2784.01,7.82255,80.0576,7.64506,3.8,7.15
2qnp,132.112,2271.66,6.37245,81.605,4.85473,3,6.41
2qpq,48.9945,827.928,3.53979,6.07346,4.22511,2.1,6.37
2qpu,42.7444,997.911,1.22414,0,1.29927,2.9,3.6
2qrg,93.9174,1485.59,2.95795,16.5041,6.7122,2,5.18
2qrh,85.6223,1337.73,2.8576,17.9634,6.50272,1.8,4.71
2qrk,88.7551,976.317,3.44925,0,4.52449,2.1,4.26
2qrl,35.3396,493.001,4.40174,0,6.42078,1.6,4
2qrm,96.0441,1532.17,2.82263,16.6099,6.4665,2,4.03
2qrp,113.511,1663.52,3.47044,21.0857,6.71965,1.8,6.2
2qrq,81.8634,1349.57,3.1574,20.4554,5.81046,1.8,5.1
2qry,122.515,1535.88,7.2853,23.3833,4.26343,2.3,8.64
2qta,135.245,1673.69,6.98012,23.9418,8.75825,2.6,5.76
2qtg,101.387,1172.48,3.96423,2.24956,4.00398,1.8,5.08
2qtn,82.7222,966.791,3.45188,13.4329,3.5335,2.2,3.42
2qtt,113.356,1290.46,5.49312,0,5.65604,1.7,4.32
2qu6,119.668,2114.32,3.86291,48.4935,2.28978,2.4,8.52
2qv7,108.007,1237.69,6.36517,0,8.67297,2.4,3.66
2qw1,24.9953,485.736,1.94394,0,2.69483,1.8,3.9
2qwb,63.8769,1033.27,5.07546,7.85209,8.56374,2.5,2.74
2qwc,66.9801,1022.32,5.68211,8.8526,7.71621,2.4,3.55
2qwd,62.7792,1006.24,6.77799,8.46856,9.27405,2.4,4.85
2qwe,83.2595,1234.13,7.54031,8.54504,11.6349,2.5,7.48
2qwf,84.7203,1251.2,4.72412,15.1577,7.70098,2.2,5.67
2qx0,88.6735,797.597,3.19544,0,4.14547,1.4,6.11
2qzr,92.4459,1380.13,6.68,20.27,6.40337,1.8,7.26
2r0h,74.2097,1056.64,5.07312,2.34113,9.3939,3.8,3.51
2r0z,164.152,2146.28,8.81471,42.539,8.77991,6.2,5.47
2r1y,39.1772,746.104,3.69069,2.82369,6.73237,2,4.51
2r23,64.4161,1299.24,7.04628,1.82263,8.23472,4,3.72
2r2b,59.9502,1294.55,4.82153,3.95664,7.55133,5.2,4.2
2r2m,107.501,1489.29,2.77006,61.8456,5.31946,3,7.33
2r2w,94.4793,1115.03,4.66524,7.45204,6.35204,1.8,4.47
2r38,147.255,2491.7,5.8208,70.9988,6.43666,3.4,7.44
2r3t,143.37,2469.47,6.49418,70.4679,6.70501,3.4,5.85
2r3w,126.413,2298.08,4.97002,65.0875,5.38507,3.2,6.89
