receptor,van_der_Waals,hydrogen_bonding,electrostatic,solvation,tors,exp_binding_affinity
2bt9,-42.2684,-21.0189,0.00757483,64.7938,2.5,6.19
2buv,-44.7007,-7.01021,-0.00137948,80.0152,2,4
2bvd,-67.5871,-38.1771,-0.0604074,143.118,7,6
2bvr,-68.6214,-14.4514,-0.0198624,91.7071,8,3.7
2bvs,-90.534,-14.9947,-0.0112035,132.681,16,4.1
2byr,-114.568,-7.63406,-0.0266601,141.606,13,8.55
2bys,-108.587,-9.40387,-0.01815,76.0617,6.5,9.52
2bz6,-94.2816,-24.3758,-0.00622394,144.772,9.5,7.09
2bza,-39.4215,-14.7314,-0.0331007,50.2057,1.5,2.8
2c1p,-71.8064,-4.85426,0.00254464,93.5373,5.5,5.4
2c3l,-59.119,-9.06736,-0.000591894,77.665,0,5.07
2c80,-80.5854,-42.0005,-0.102061,137.573,16.5,5.33
2c92,-114.047,-55.0528,-0.0294212,203.451,12,5.68
2c94,-110.176,-50.9626,-0.0265928,206.814,13,6.82
2c97,-65.1067,-27.9227,-0.0297051,102.158,6,6.14
2ca8,-60.7508,-44.3569,-0.097618,137.026,11,4.66
2cbj,-74.1148,-30.653,-0.00651695,124.451,6.5,8.27
2cbu,-60.2059,-32.6163,-0.0389114,114.663,2,5.68
2cbz,-67.0966,-35.6222,-0.0594376,149.535,9,3.93
2cc7,-50.5844,-9.79809,-0.00323828,89.7161,0,8.01
2ccb,-56.6204,-2.37129,0.00470295,74.883,7,7.45
2ccc,-51.6184,-9.83303,-0.00314199,86.5676,0,7.76
2ce9,-84.7278,-20.3801,-0.0490645,150.869,19.5,6.03
2cej,-141.445,-24.9608,-0.0253176,160.843,14,8.62
2cen,-142.19,-29.1611,-0.0284658,167.033,15,8.3
2ceq,-64.1737,-28.888,0.0039034,128.478,3,7.28
2cer,-82.274,-26.4629,0.00793342,142.028,6,9.22
2ces,-62.5831,-26.3849,0.00541743,126.818,3,7.25
2cex,-52.955,-13.8006,-0.0252626,146.768,7,4.7
2cf8,-97.8163,-19.9552,-0.00646616,110.622,5.5,8.1
2cf9,-98.0183,-19.8253,-0.00711662,116.423,6.5,7.82
2cgf,-63.336,-2.61432,0.00297243,77.4521,1,6.41
2cgr,-91.3903,-16.0826,-0.0354497,109.747,6,7.28
2cht,-56.8272,-14.4554,-0.0291067,92.1905,2.5,5.52
2cle,-65.2317,-17.3489,-0.0112819,101.532,7,3.55
2clh,-82.3479,-19.6726,-0.0307007,74.1213,6,4.06
2cli,-79.5827,-20.6228,-0.018502,117.244,8,4.3
2clk,-47.0726,-21.66,-0.027895,102.048,5,3.79
2cn0,-96.2592,-19.6064,-0.00706291,134.515,5.5,7.66
2csn,-51.341,-1.78616,-0.015717,74.3944,4.5,4.41
2ctc,-45.9661,-22.1746,-0.0383384,73.8504,3.5,3.89
2d0k,-75.1377,-23.1409,-0.0764932,166.695,10,5.02
2d1n,-110.075,-28.568,-0.0258394,115.191,19,8.15
2d1o,-98.8804,-34.0731,-0.0234982,99.0236,19,7.7
2d3u,-69.5601,-7.20772,-0.0249022,58.3478,5,6.92
2d3z,-65.4753,-7.87146,-0.0255213,64.0715,5,6.64
2doo,-83.7935,-4.14029,-0.00234625,83.2099,10.5,7.17
2drc,-83.2901,-33.3119,-0.0776061,187.57,11,9.89
2dri,-48.6347,-38.5091,0.0136112,103.115,2,6.89
2dw7,-45.4467,-33.2695,0.00456105,127.118,4,4.7
2e1w,-71.8308,-14.2367,-0.00282075,96.9074,6.5,7.96
2e27,-80.3512,-11.3114,-0.0158581,93.6784,5.5,9.35
2e2p,-76.6313,-21.6137,-0.0233056,170.742,7,4.74
2e2r,-65.0083,-11.1018,-0.00605266,41.7616,3,8.26
2e5y,-71.8078,-39.8101,-0.167319,200.472,9.5,5.85
2e7f,-80.029,-33.8435,-0.0478772,174.81,9,6.1
2e91,-42.2209,-21.8946,0.0565068,154.234,4.5,6.59
2e92,-52.7301,-18.4235,0.0563541,157.476,4.5,6.89
2e94,-73.5113,-13.1054,0.0339315,153.138,6.5,8
2e9u,-76.019,-9.83362,-0.00499345,112.42,0,8.1
2eg7,-48.755,-29.6439,0.00559328,109.253,2,5.89
2eg8,-39.5795,-25.8103,-0.0154989,96.9402,1,4.5
2epn,-61.1415,-12.7999,0.00668741,96.5622,2.5,7.22
2erz,-69.4697,-16.0448,-0.0153913,97.4732,2,5.66
2euk,-132.462,-23.6695,-0.00211431,51.1106,43,6.6
2eum,-89.1288,-22.1696,-0.0207606,120.7,33.5,6.7
2evl,-111.289,-25.8738,-0.017369,69.0257,36,6.7
2ewa,-85.3329,-0.791986,0.00517024,80.0266,2,7.94
2ewb,-48.2085,-10.5904,0.0101347,79.0654,5.5,6.1
2ews,-107.451,-32.7605,-0.0477651,251.884,9.5,6.62
2exm,-50.2679,-5.59893,0.00300409,94.4665,3,4.11
2ez7,-26.8229,-6.53914,-0.000343568,81.314,3.5,4.36
2f1g,-89.3001,-9.08536,-0.000786658,94.7314,10,7.54
2f2h,-101.38,-28.8853,0.00984384,190.228,9,5.7
2f34,-62.5332,-28.339,-0.0416858,135.599,6.5,6.89
2f35,-57.0714,-27.8659,-0.0410606,133.648,6.5,5.4
2f6t,-72.3027,-30.2703,-0.0387842,109.076,5,4.62
2f7i,-50.0356,-11.9525,-0.0542478,70.0857,2,7.1
2f7o,-51.2677,-31.1419,-0.0609497,104.729,3,7.44
2f7p,-68.2507,-34.5086,-0.0639778,120.067,5.5,6.6
2f80,-114.785,-20.1333,0.00107323,126.861,13,8.18
2f81,-116.33,-20.7596,-0.000126135,131.661,13,10.52
2f8g,-114.212,-21.5736,0.000323581,119.84,13,8.7
2f94,-58.4861,-17.3112,0.0587374,154.373,9.5,6.71
2f9k,-47.1951,-28.5712,0.0692235,166.804,4.5,7.07
2fdp,-129.008,-41.3707,-0.0690302,144.165,14.5,7.59
2fgu,-131.947,-33.9454,-0.0259557,160.671,12.5,9.18
2fgv,-131.757,-34.9159,-0.0242536,162.378,12.5,6.12
2fle,-151.963,-36.461,-0.0142045,185.148,20,7.85
2flr,-98.0856,-24.8015,-0.00929712,123.137,4.5,6.1
2fmb,-135.434,-51.4699,-0.0124808,160.327,20.5,8.7
2fpz,-49.1642,-19.7186,-0.033738,80.7042,0.5,3.96
2fqo,-68.922,-35.2321,-0.0314316,157.296,10,6.43
2fqt,-68.9478,-40.2297,-0.0314214,157.805,10,6.14
2fqw,-72.7841,-22.1289,0.00520133,159.979,3.5,6.68
2fqx,-76.8853,-26.7533,-0.0233921,180.444,4,7.15
2fqy,-80.5569,-22.2842,0.00893871,179.663,4,6.57
2fu8,-35.6263,-6.18908,-0.00124021,58.5719,3.5,4.7
2fw6,-55.5469,-27.6702,-0.0369137,127.392,5.5,2.92
2fx6,-48.6543,-19.7356,-0.0196935,77.5006,0.5,3.7
2fxu,-105.458,-14.4882,-0.00441373,68.8491,19,8.15
2fxv,-80.8673,-35.6517,-0.0250901,194.842,5,5.35
2fzc,-49.9457,-18.2431,-0.0621679,155.624,7,2.7
2fzg,-71.7862,-14.8053,-0.0420072,187.379,6,3.38
2fzk,-80.0024,-24.0772,-0.0831415,225.8,7,3.6
2g5u,-56.8993,-0.0129067,-0.000128376,65.3958,2,8.49
2g70,-61.5566,-7.10517,-0.0459234,91.6077,2.5,7.77
2g71,-86.5063,-7.55179,-0.0424367,110.195,6,7.46
2g72,-80.7408,-6.42,-0.039417,78.9818,3,6.5
2g8r,-48.7848,-4.92636,-0.00691643,90.2716,5,3.99
2g94,-122.819,-30.7225,4.39529e-05,157.589,19.5,9.52
2g9q,-37.6827,-25.1981,-0.0111009,91.7352,2.5,6.4
2gh9,-111.33,-24.0163,0.00776861,232.541,12.5,6
2gj5,-48.7269,-0.19462,-0.00226746,-7.82204,7.5,8.32
2gkl,-35.0465,-14.4226,-0.0295903,87.2037,2,5.35
2gl0,-67.6125,-8.95536,0.0017205,136.306,4,4.82
2glp,-85.5677,-0.984599,-0.00135503,100.768,4,5.01
2gss,-40.9813,-4.09897,-0.00951182,48.348,6,4.94
2gst,-101.962,-50.0289,-0.0868898,158.226,12,6.07
2gsu,-70.7549,-16.1056,0.0254982,189.851,5,3.59
2gv6,-81.7272,-33.2009,-0.0147649,134.323,10.5,7.34
2gv7,-110.891,-39.7794,-0.023874,166.12,12,7.85
2gvj,-95.9659,-4.26321,-0.0041643,94.5193,8,9.52
2gvv,-47.1314,-17.0847,-0.00057031,53.4818,4.5,3.9
2gyi,-46.7826,-20.6715,-0.000555053,111.734,5.5,7
2gz2,-68.6114,-24.5942,-0.0302923,163.766,7,5.22
2gzl,-127.277,-23.1073,0.0420761,225.386,14.5,4.82
2h15,-66.4092,-15.6516,-0.0034543,102.682,3.5,5.67
2h21,-94.3787,-31.0302,-0.0271972,187.799,9,6.54
2h3e,-70.9466,-53.5922,-0.122179,183.303,6,5.7
2h4g,-65.4585,-20.7261,-0.0566048,106.154,5.5,6.52
2h4k,-64.1127,-19.4541,-0.0613404,99.528,5,5.49
2h4n,-39.8347,-14.1029,-7.6275e-05,77.6053,2.5,8.7
2h5a,-49.5709,-25.0374,-0.0384729,134.402,3.5,5.1
2h6b,-48.4746,-17.9978,-0.0387187,62.3732,2.5,5.39
2h6t,-113.996,-35.1521,0.0105019,154.322,23,7.22
2ha2,-61.9434,-2.93198,-0.0338782,86.4555,11,4.66
2ha3,-29.3134,-2.85942,-0.025065,49.9403,2.5,3.03
2ha5,-34.2753,-0.0017153,-0.0225219,40.5769,4,4.34
2ha6,-63.1743,-0.00611465,-0.0384129,86.2783,11,4.32
2hah,-83.0624,-27.8587,-0.0102098,99.6958,11.5,8
2haw,-36.8196,-30.3223,0.0304616,121.851,2,4.92
2hb3,-113.722,-14.8137,0.000782355,113.414,14,11.35
2hf8,-116.767,-62.2124,-0.0425528,263.67,9,5.47
2hhn,-108.402,-12.987,-0.00426512,127.921,12,7.49
2hjb,-47.5112,-13.0025,-0.0347123,70.0075,2.5,4.39
2hkf,-124.095,-33.3674,-0.109102,227.455,25.5,6.38
2hl4,-56.4921,-14.3726,0.000807857,103.341,6.5,7.64
2hmu,-90.5035,-26.4689,-0.0443652,201.274,9.5,7.7
2hmv,-80.0111,-18.5524,-0.0306067,173.554,7.5,7.7
2hnc,-37.6091,-10.6963,-0.000525813,74.3715,2,7.22
2hnx,-53.6204,-10.6544,-0.0281014,30.692,14,7.08
2hoc,-58.1953,-14.3612,-0.00261536,99.6989,4,9.52
2hs1,-113.358,-21.1318,0.000562407,128.446,13,8.48
2hu6,-85.882,-12.9499,-0.00423454,78.9472,4.5,3.81
2hw2,-113.44,-6.285,0.00132639,141.178,7.5,2.97
2hxm,-73.4395,-27.9531,-0.0279416,121.85,9,5.22
2hzl,-31.0782,-18.0875,0.00970955,60.9294,1.5,6.57
2hzy,-69.613,-35.1745,0.00108151,140.068,6,7.39
2i0a,-114.563,-23.3742,-0.0046115,121.062,14.5,11.4
2i19,-45.8573,-12.2361,0.0302529,149.717,4,7.8
2i2b,-55.6363,-27.9451,-0.00654094,134.67,2.5,2.44
2i2c,-101.28,-34.9654,-0.000484333,264.055,9.5,4.7
2i3h,-84.1353,-24.5793,-0.0540433,101.392,9.5,7.4
2i3i,-85.2784,-19.0805,-0.0446089,84.1922,6,7.3
2i3v,-49.2041,-35.2319,-0.0700095,112.439,4.5,6.55
2i4d,-125.996,-19.352,-0.00775535,150.948,16.5,11.68
2i4j,-105.613,-6.68395,-0.0025904,85.3976,14,6.16
2i4u,-116.571,-24.9313,-0.00601428,122.211,13.5,11.57
2i4v,-114.839,-25.591,-0.00695081,123.501,13.5,11.2
2i4w,-137.523,-26.0042,-0.00518306,142.685,20.5,11.59
2i4x,-138.581,-26.6379,-0.00716212,149.078,20.5,11.72
2i4z,-106.345,-10.9916,-0.0140858,84.8408,14,5.7
2i6b,-69.1461,-5.71616,0.00304675,103.762,5.5,7.17
2i80,-69.9824,-3.43482,-0.00376193,62.9187,4,5.4
2idw,-106.689,-22.0061,0.000353523,122.853,13,8.89
2igv,-37.1694,-21.3587,-0.029778,70.1877,4,2.23
2ihj,-120.793,-50.4588,-0.0245237,291.544,14.5,4.59
2ihq,-85.397,-3.26774,-0.00232163,83.9543,1,8.49
2iko,-76.088,-23.1461,-0.0563331,126.023,5.5,5.45
2il2,-132.831,-31.0143,-0.0567598,174.895,12.5,7.1
2isw,-50.3214,-32.8596,-0.0509389,103.245,3.5,7.43
2iuz,-88.8933,-6.30168,-0.00125244,137.398,3,5.55
2iw4,-36.3135,-36.6623,0.0148054,122.108,2,9.3
2izl,-67.5831,-19.8879,-0.0176437,101.015,5.5,6
2j27,-35.8867,-21.243,-0.0455611,91.1234,3,3.52
2j2u,-102.383,-6.34295,-0.00302905,106.794,5,7.33
2j34,-95.3419,-4.58788,-0.00234961,88.1403,5,7.82
2j47,-81.5881,-33.6331,-0.0119013,144.389,5.5,5.41
2j4g,-72.49,-18.8917,-0.00253989,90.7174,4.5,6.6
2j4i,-112.289,-9.55813,-0.00502406,98.553,10,9
2j62,-102.136,-30.1788,-0.00577448,134.076,7.5,11.34
2j75,-53.2306,-32.8971,-0.0506852,115.952,3,6.65
2j77,-54.5125,-27.2244,-0.031906,118.286,3,4.89
2j79,-59.0626,-27.0966,-0.00179136,131.486,3.5,5.96
2j7b,-61.7823,-29.6172,-0.0031926,110.251,3,6.62
2j7d,-74.7351,-31.7324,0.00568894,156.822,5.5,7.13
2j7e,-75.5283,-27.1359,0.00661268,148.131,6,7.32
2j7f,-72.7993,-33.8376,0.0114384,161.304,4,6.35
2j7g,-72.6132,-28.6382,0.0136659,157.994,5,7
2j94,-97.8683,-7.31748,-0.00398554,121.867,6,6.27
2j95,-97.1611,-1.69918,-0.00148517,87.7769,6,8.4
2jdh,-46.4287,-34.1847,0.000964262,106.407,9,6.51
2jdk,-46.3834,-33.1726,0.00146823,106.726,9.5,6.54
2jdm,-38.0685,-31.1099,0.00102166,56.1611,2.5,5.4
2jdp,-34.7312,-24.8145,0.0081305,65.5006,2.5,6.6
2jds,-94.2269,-17.9289,-0.020123,146.748,6.5,8.2
2jdu,-42.585,-34.2017,0.000588253,60.972,2.5,6.72
2jew,-58.0408,-20.4482,-0.0568179,121.387,8.5,6.69
2jf4,-98.0159,-55.8709,-0.0324922,212.711,8,8.15
2jfh,-63.4863,-14.9516,-0.0312824,112.293,11,3.06
2jfz,-90.5712,-0.223572,-0.000354798,76.4017,5,5.24
2jg0,-110.282,-45.4499,-0.000232299,242.293,7,7.82
2jgs,-65.665,-11.5535,-0.00718742,84.458,5.5,6.62
2jh0,-92.2034,-5.6657,-0.00300334,87.6782,6,8.7
2jh5,-88.927,-5.74932,-0.00290017,86.3605,6,6.44
2jh6,-88.5462,-6.13396,-0.00289886,87.8814,7,7.77
2jiw,-67.0534,-32.8042,-0.0425874,117.813,4,4.59
2jjb,-95.6583,-46.7293,-0.0294564,234.025,8,7.92
2jke,-45.9126,-18.5718,-0.0417466,114.39,3,4.23
2jkh,-95.4589,-3.99232,-0.00212051,104.5,5,8.05
2jkp,-52.4964,-26.7877,-0.040657,111.572,2,4.23
2jxr,-114.339,-29.6795,0.000395616,146.778,16,7.05
2mas,-67.9197,-28.1711,-0.0484425,123.921,4,7.52
2nmx,-47.9568,-11.2055,-0.00197713,66.067,4.5,5.57
2nmz,-129.497,-28.6947,-0.0173713,159.769,14,8.37
2nn1,-45.7299,-8.80314,-0.00237352,69.1289,4.5,5.82
2nn7,-50.6374,-9.81895,-0.00222875,62.0068,6.5,6.52
2nnd,-39.508,-0.103827,0.00331711,45.2669,3,6.06
2nsj,-77.888,-42.127,-0.0335382,187.357,6,4.79
2nsl,-73.9561,-37.6091,-0.0233695,186.333,6,4.68
2nt7,-107.657,-17.7269,-0.0250802,144.54,10,6.52
2nta,-74.6914,-23.722,-0.00394564,77.3341,2,4.8
2o0u,-93.1109,-7.09237,-5.37185e-05,72.7694,4,5.49
2o4j,-101.13,-16.6477,0.00227304,43.8753,6.5,10.1
2o4k,-137.965,-35.5156,-0.0254302,165.403,18.5,10.46
2o4l,-122.097,-14.5349,0.00336656,112.481,12.5,9.22
2o4n,-124.912,-15.5948,0.0026194,108.598,12.5,7.82
2o4p,-122.813,-17.5178,0.00405094,109.892,12.5,10.72
2o4r,-98.7231,-14.2559,0.00104132,44.5113,6.5,9.4
2o4s,-135.892,-23.04,-0.00666939,136.491,15.5,10.51
2o4z,-27.0598,-11.8452,-0.00130591,50.8225,2,6.25
2o8h,-65.2044,-5.37897,-0.00336079,83.3085,5,7.6
2oag,-88.7195,-25.1992,-0.0797359,150.192,4.5,8.47
2oax,-95.938,-6.22176,-0.00398189,11.2559,2,8.65
2obf,-97.0837,-14.0763,-0.0357783,96.3891,4.5,8.85
2oc2,-131.648,-28.9456,0.00691229,203.376,12,8.52
2ogy,-73.149,-22.7618,-0.0372956,169.665,9,4.48
2oi0,-70.3509,-11.9314,-0.00264451,54.6983,5.5,7.55
2oi2,-54.5509,-22.7612,0.0158681,145.31,8.5,6.3
2oiq,-110.549,-19.5965,-0.0265641,154.466,7,5
2ojg,-61.9194,-14.1978,0.00194669,91.2713,3,5.64
2ojj,-90.0665,-15.3699,-0.0045321,129.792,6.5,8.7
2olb,-116.053,-66.1317,-0.145621,247.688,19,5.54
2ole,-70.2397,-15.624,-0.0709767,127.969,7.5,7.25
2on6,-72.3129,-20.2076,0.00103387,165.16,4,6.76
2ot1,-52.1661,-0.0316565,-0.0248129,84.5592,3,4
2ov4,-124.26,-64.7259,-0.143111,308.97,11,4.74
2ovv,-66.8993,-5.84891,-0.00109332,81.2265,5,7.92
2ovy,-66.1386,-6.82779,-0.0012576,100.769,5,8.4
2oxd,-57.0333,-0.0415942,0.000152821,55.5396,0,6.82
2oxn,-47.9272,-22.5983,0.00220413,118.39,6.5,7.44
2oxx,-55.7849,-0.217717,-1.84907e-05,48.421,0,6.7
2oxy,-48.7204,-0.0231443,0.000222539,49.5574,0,6.52
2oym,-74.0826,-26.7304,-0.0710342,134.801,6.5,5
2p09,-77.2954,-25.0969,-0.0975304,163.735,9,6.35
2p16,-112.034,-12.6613,-0.00165145,121.721,5,10.1
2p2a,-111.022,-42.3937,-0.0539263,169.697,7,6.12
2p3a,-157.628,-54.0286,-0.0151167,204.681,26,7.96
2p3b,-145.603,-52.6838,-0.0174003,187.366,26,8.48
2p3c,-164.237,-55.082,-0.0213167,196.584,26,7.62
2p3i,-43.3494,-18.5904,-0.0141001,81.0305,8,3.48
2p4j,-161.175,-34.483,-0.0132381,151.918,17.5,8.96
2p4s,-79.033,-19.5086,-0.016768,151.323,4,9.51
2p53,-70.9698,-37.2567,-0.0188818,178.906,6.5,7.46
2p7a,-38.9339,-5.78631,0.00350153,26.962,0.5,6.1
2p7g,-65.7286,-10.7647,-0.00511047,42.5816,3,6.53
2p7z,-88.9901,-5.42585,-0.0286737,55.3924,8.5,6.58
2p95,-102.827,-8.27326,-0.00219814,94.5811,5,9.37
2pbw,-73.0088,-33.7934,-0.0701512,130.52,7,8.25
2pcp,-75.9793,-5.04779,-0.0134747,32.0913,2,8.7
2pfy,-48.9337,-22.1804,-0.0356126,84.3208,1,6.52
2pgz,-73.7368,-0.322625,-0.0238962,69.4816,5,5.74
2pk5,-163.312,-31.113,-0.00250914,182.709,15,10.7
2pk6,-154.077,-26.4549,-0.00216246,178.271,15,10.89
2pmk,-67.0444,-26.8977,-0.0784845,149.126,9,5.92
2pnc,-50.5239,-8.83922,-0.0247225,79.3324,2,3.33
2pou,-59.8815,-22.1824,-0.00200499,78.5073,3,7.42
2pov,-57.5154,-21.2714,-0.00344884,91.414,3.5,7.12
2pow,-57.628,-18.3154,-0.00322726,110.68,4.5,7.2
2pq9,-99.3879,-83.4991,-0.217082,267.945,9.5,8.11
2pqb,-95.1777,-58.0065,-0.134027,272.861,9.5,7.2
2pqc,-87.7442,-53.3189,-0.109893,249.545,7.5,5.74
2pql,-56.7806,-14.7211,-0.0493367,53.7859,2.5,7.28
2pqz,-108.764,-26.8366,-0.0656725,97.4513,10,5.67
2psu,-105.423,-15.5049,-0.00136589,113.612,14.5,7.62
2psv,-98.1241,-22.1579,-0.00692464,111.798,13.5,7.24
2ptz,-45.3798,-31.7284,-0.0191943,110.433,2.5,7.82
2pu1,-45.5144,-31.9882,-0.0184155,118.376,2.5,5.85
2pu2,-59.4634,-11.2641,-0.0373202,119.791,5.5,4.43
2pv1,-112.304,-22.5668,-0.00791381,148.268,25,7.14
2pvh,-73.3062,-8.61442,0.00524811,115.649,4,6.59
2pvj,-84.9098,-7.17457,0.021777,116.348,5,8.1
2pvk,-90.6189,-6.47911,0.0193614,130.775,5,8.3
2pvl,-80.9163,-6.78086,0.00396511,131.983,4,7.62
2pvm,-76.1792,-6.48969,0.00191407,134.104,6,6.44
2pvu,-54.4212,-48.308,-0.0987266,112.348,6,6.31
2pwc,-118.204,-31.2032,-0.0718909,147.878,11,6.57
2pwd,-50.9367,-32.6807,-0.047467,128.108,3,4.4
2pwg,-55.8297,-28.5589,-0.0686011,121.981,2,4.82
2pwr,-138.606,-34.2894,-0.0716705,161.281,12,6.59
2py4,-118.807,-69.2355,-0.0627947,243.291,8.5,6.7
2pyi,-91.3189,-23.9271,0.00682733,185.734,7,3.75
2pym,-107.721,-18.3206,-0.0147422,120.088,11,6.82
2pyn,-112.903,-16.924,-0.0140438,119.155,11,7.57
2pyy,-43.9931,-34.8801,-0.0783937,106.554,4.5,4.6
2q1q,-50.2849,-9.69053,-0.00206541,58.9886,2.5,8.15
2q2a,-67.695,-62.5397,-0.108339,150.346,5.5,7.41
2q38,-45.9815,-4.91439,0.00115523,45.6746,0,5.23
2q54,-123.618,-28.4543,-0.00162692,143.494,15.5,9.01
2q55,-132.254,-27.2118,-0.00574463,147.208,14.5,8.69
2q5k,-131.808,-22.2514,-0.00479449,134.853,15.5,11.3
2q63,-115.807,-19.2399,-0.0214227,118.561,11,7.18
2q64,-114.325,-15.6509,-0.013241,120.201,11,8.52
2q6f,-123.449,-33.3019,-0.0123559,134.264,19,5.44
2q7q,-44.792,-13.6802,-0.03536,58.8651,1.5,5.3
2q7y,-87.7668,-10.1207,-0.000190068,31.0433,28.5,4.3
2q88,-52.2802,-21.7632,-0.0247235,79.2235,1,5.8
2q89,-57.4237,-22.4517,-0.0195668,99.3114,1.5,6.3
2q8h,-26.2701,-0.0198718,-0.0104593,46.5848,1,3
2q8m,-75.14,-32.7691,-0.04464,152.744,5.5,4.03
2q8z,-78.3352,-54.2613,-0.0523756,194.735,5.5,5.68
2qbs,-79.7713,-18.0527,-0.0611224,114.246,7,6.68
2qbu,-107.665,-55.2456,-0.0213112,208.438,8.5,6.19
2qbw,-166.225,-40.628,-0.0411789,248.665,24.5,7.25
2qci,-120.508,-17.2117,2.86389e-05,132.169,12.5,8.34
2qd6,-116.264,-16.5053,0.00142315,131.898,12.5,8.68
2qd7,-113.314,-18.2958,0.000674743,129.225,12.5,9.1
2qd8,-117.206,-16.5233,0.0014097,134.432,12.5,9.07
2qdt,-31.5376,-7.07875,-0.00418845,57.0989,4.5,5.19
2qfo,-33.4061,-5.42973,-0.0171201,88.0932,1.5,4.7
2qft,-43.9574,-46.4288,-0.0869684,135.881,4,5.26
2qfu,-43.9075,-45.9693,-0.0850657,137.751,4,4.18
2qg0,-75.2324,-13.438,-0.023737,137.155,6.5,5.72
2qg2,-77.393,-6.07901,-0.0182113,113.801,4,5.4
2qhd,-40.4717,-5.76925,-0.00685312,23.835,10,5.38
2qhy,-109.578,-24.6675,-0.00505259,130.442,12.5,7.48
2qhz,-108.681,-12.0736,-0.00308499,130.061,12.5,7.28
2qi0,-120.149,-13.6292,-0.00558278,115.172,12.5,7.38
2qi1,-120.64,-11.2801,-0.000616372,131.306,13.5,7.3
2qi3,-99.7181,-15.6159,-0.00415929,104.319,14,10.2
2qi4,-118.301,-19.2556,-0.00994327,118.1,13,10.44
2qi5,-117.716,-17.7209,0.000766447,114.615,15.5,10.85
2qi6,-116.648,-8.31924,0.00426726,119.141,12,10.57
2qi7,-102.8,-21.0434,-0.00405053,93.7597,16.5,10.21
2qm9,-91.9576,-6.00238,0.0002373,104.719,5.5,7.77
2qmg,-137.342,-24.1603,-0.0449731,175.723,11.5,9.15
2qnn,-140.966,-33.0804,-0.0750152,184.189,14,7.15
2qnp,-124.226,-23.2829,-0.0689405,115.47,10,6.41
2qpq,-42.9525,-17.1334,-0.0299692,117.181,5.5,6.37
2qpu,-49.1015,-9.08224,-0.00597741,108.73,9.5,3.6
2qrg,-85.5978,-26.1722,-0.00139202,154.183,5,5.18
2qrh,-78.349,-21.9616,0.00622601,138.241,4,4.71
2qrk,-60.631,-15.8697,-0.0211069,124.488,5.5,4.26
2qrl,-27.9344,-23.5509,-0.0750186,78.7623,3,4
2qrm,-86.3243,-24.9012,0.0164638,165.62,5,4.03
2qrp,-98.7633,-21.0033,0.00700647,157.075,4,6.2
2qrq,-72.1241,-16.6092,0.00885474,140.463,4,5.1
2qry,-96.6489,-14.76,0.00914138,160.792,6.5,8.64
2qta,-99.2529,-36.2738,0.00522087,207.368,8,5.76
2qtg,-74.7749,-20.2072,-0.00472028,128.709,4,5.08
2qtn,-56.8812,-9.31965,-0.00126055,119.326,6,3.42
2qtt,-81.7438,-28.6515,-0.00829636,177.042,3.5,4.32
2qu6,-117.441,-8.86705,-0.00504153,144.688,7,8.52
2qv7,-79.9251,-30.3701,-0.00935677,168.32,7,3.66
2qw1,-25.4226,-12.0897,0.00351552,71.5332,4,3.9
2qwb,-52.234,-26.5937,-0.0304384,152.945,7.5,2.74
2qwc,-53.0264,-25.5657,-0.0318014,141.868,7,3.55
2qwd,-52.5226,-33.4585,-0.0820839,154.708,7,4.85
2qwe,-67.6029,-51.3731,-0.073212,192.272,7.5,7.48
2qwf,-67.6192,-34.8776,-0.0618248,170.355,6,5.67
2qx0,-53.9202,-17.401,-0.00734874,128.24,2,6.11
2qzr,-80.9275,-30.4399,-0.0553843,165.305,4,7.26
2r0h,-61.8128,-35.328,0.000709475,146.267,14,3.51
2r0z,-132.406,-43.0242,-0.0390956,239.258,26,5.47
2r1y,-36.8036,-19.5509,-0.0228191,95.0891,5,4.51
2r23,-63.1132,-24.0378,-0.0431395,172.356,15,3.72
2r2b,-60.5455,-27.5362,-0.0405131,178.355,21,4.2
2r2m,-90.4996,-25.9851,-0.0277005,145.294,10,7.33
2r2w,-77.4251,-29.3014,-0.0321734,105.674,4,4.47
2r38,-130.896,-32.9088,-0.0685708,159.891,12,7.44
2r3t,-129.602,-33.6628,-0.0696936,157.901,12,5.85
2r3w,-117.935,-33.306,-0.0692559,150.188,11,6.89
2r43,-114.189,-31.0111,-0.0694313,146.227,11,6
2r58,-31.0465,-8.74127,-0.0275516,42.3964,6.5,2
2r59,-128.128,-36.341,-0.0369221,187.376,12.5,8.19
2r5a,-28.5564,-5.283,-0.0196507,46.2134,6.5,2.6
2r5p,-136.017,-11.749,-0.0140918,162.908,13,8.48
2r75,-105.465,-52.3211,-0.0790796,275.3,9.5,6.15
2r9x,-58.6592,-16.3918,-0.0316049,114.357,6,4.85
2ra0,-125.267,-26.7913,-0.00809862,184.804,6.5,7.8
2ra6,-39.9934,-3.01134,0.000458112,19.5563,1.5,4.52
2rcb,-39.7216,-35.0847,-0.0529164,99.4119,3,6.79
2rcn,-84.0125,-37.6734,-0.0922935,160.07,7.5,6
2rd6,-64.718,-11.5956,-0.0103677,98.8728,2,8.3
2reg,-40.3302,-10.3887,-0.0375064,53.8696,2.5,5.64
2rfh,-45.31,-20.1038,-0.0188458,79.3291,6,6.82
2ri9,-27.2225,-6.80689,0.00134969,71.9291,1.5,3.22
2rin,-51.8021,-4.4877,-0.0348585,56.5637,4,4
