receptor,van_der_Waals,hydrogen_bonding,hydrophobic_contact,tors,exp_binding_affinity
1o3i,-428.432,0,17.0721,3,7.3
1o3j,-406.306,0,13.9895,2,6.77
1o3l,-438.865,0.651767,16.8163,5,6.54
1o3p,-469.257,0.0225483,16.5142,4,6.66
1o5a,-471.678,0,21.7737,4,6.42
1o5c,-489.577,0,20.9038,4,5.22
1o5e,-534.741,0,28.1554,4,5.74
1o5g,-539.255,0,50.2037,4,4.96
1o5r,-639.463,0,63.5083,8.5,8.12
1o7o,-566.488,0,10.5817,7,4.49
1o86,-543.772,0.16396,50.9955,10.5,9.57
1oar,-530.462,0,105.737,2,7.4
1oau,-442.129,0,43.1706,5.5,7.7
1oba,-137.723,0,0,2.5,2.44
1ocq,-403.139,0.0437755,4.63403,7,5.19
1od8,-387.293,1.36395,7.49302,4,5.1
1odi,-477.467,0,0,4,4.21
1odj,-484.772,0,0,4,4.1
1oe8,-324.013,0.666679,2.01074,9,5.52
1ogd,-256.744,1,0,2,3.03
1ogg,-675.406,0,23.9576,12.5,5.19
1ogx,-346.609,0,81.7986,0.5,6.09
1ogz,-332.791,0,87.054,0.5,5.85
1ohr,-744.832,0.119332,83.4497,10,8.7
1oif,-276.446,0.716275,7.65984,2.5,7.72
1okl,-344.156,0,48.8163,2.5,6.03
1ols,-643.137,0.118304,34.2667,8.5,5.82
1olu,-576.648,0.0231978,33.8557,8.5,4.41
1olx,-659.307,0.573141,34.7689,8.5,4.33
1om1,-486.158,0,98.0685,2,6.77
1ony,-591.764,0,56.02,15,6.77
1onz,-421.106,0,47.4082,4.5,5.1
1ork,-662.088,0,28.5588,7,8.81
1os0,-593.505,0,83.9956,10.5,6.03
1os5,-489.82,0,97.8132,8.5,6.85
1oss,-264.505,0,8.88884,1.5,4.79
1oth,-435.631,0.73983,6.58444,7.5,7
1owe,-427.97,0,13.9262,3.5,6.2
1oxr,-255.796,0,20.8721,3,5.19
1oyq,-587.985,0,52.6574,12.5,6.96
1oz0,-864.039,2.28606,42.6749,17.5,7.7
1p19,-354.385,0.896508,0,5,4.11
1p1o,-368.378,0,0,3.5,5.76
1p57,-380.329,0,14.5915,2,4.4
1pa9,-355.303,0,22.0363,3.5,4.6
1pb8,-219.414,1.96294,0,3,5.15
1pb9,-226.083,0.796016,0,0.5,3.62
1pbq,-353.312,0,47.8279,1.5,6.27
1pdz,-185.694,0,0,3,3.7
1pfu,-215.773,0.731748,7.01189,4.5,2.72
1pgp,-337.068,0.324968,0,9,5.7
1phw,-204.872,0,0,4,3.3
1pkx,-642.23,1.73729,0,5,6.92
1pme,-500.269,0,61.0462,4,9.4
1pot,-352.875,0,46.4924,8,5.49
1ppc,-589.561,0,45.4325,8.5,6.16
1pph,-497.298,0,24.604,6.5,5.92
1ppi,-930.622,1.68869,10.3057,20,5.01
1ppk,-597.745,0.328361,58.6917,13,7.66
1ppl,-729.659,0.322229,87.1757,14,8.55
1ppm,-724.121,0.443549,80.2349,15,5.8
1pr5,-425.41,0,3.14396,4,3.92
1pro,-841.951,0.906473,98.8533,11.5,11.3
1pvn,-552.556,0.681491,0,6.5,9.82
1px4,-327.022,0,10.4559,5,3.23
1pxo,-478.345,0,35.4288,4.5,8.7
1pxp,-509.667,0,46.2803,4,6.66
1pyn,-654.207,0.00284824,46.7135,16.5,5.49
1pz5,-780.887,0,41.1529,24.5,5.4
1pzi,-339.197,0.070395,4.82963,7.5,4.22
1pzo,-351.112,0,44.8564,4,3.32
1pzp,-371.978,0,53.8715,5,3.31
1q1g,-510.714,0,1.96328,4,8.57
1q54,-364.538,0,11.1729,7.5,5.85
1q5k,-399.931,0,15.576,5,7.42
1q65,-406.915,0,19.9032,6,5.46
1q72,-447.248,0,48.4235,5,6.85
1q7a,-386.462,0,75.8441,5.5,7.19
1q84,-1031.3,0.659194,190.956,13,11.05
1q8w,-407.228,0,37.7452,2,5.24
1q91,-527.85,0,44.4314,3,4.15
1qan,-648.159,0.851877,4.7539,9,4.48
1qaw,-408.34,0,26.4188,3.5,5.12
1qb1,-563.733,0,28.8368,9.5,6.77
1qb6,-509.174,0,35.493,7.5,6.06
1qb9,-583.808,0,34.6677,6.5,7.44
1qbn,-549.912,0.500775,25.5073,8.5,5.85
1qbo,-577.893,0,33.6127,6,7.74
1qbq,-402.395,0.434799,67.4437,8.5,8.3
1qbr,-1012.44,0.708992,121.997,13,10.57
1qbs,-790.412,0.834146,122.24,12,9.47
1qbt,-1136.03,0.449736,144.184,13,10.62
1qbu,-784.116,0.0479859,101.904,11,10.24
1qbv,-568.734,0,65.1002,8.5,5.39
1qf0,-663.099,0,101.721,10,7.38
1qf2,-463.514,0,66.211,7.5,5.92
1qft,-249.967,0,11.8511,2.5,8.77
1qhc,-718.124,0.550157,4.86127,14.5,7.57
1qin,-578.718,0,50.6509,12,8
1qji,-711.646,0,68.8354,17.5,4.85
1qk3,-454.998,0,0,5.5,5.15
1qk4,-485.039,0.983138,0,5,4.21
1qka,-761.336,0.566018,35.835,16.5,5.92
1qkb,-639.225,0,39.6745,13.5,7.35
1ql7,-638.004,0,32.7184,4,5
1ql9,-679.283,0,44.1111,4,5.35
1qxk,-661.659,0.108525,51.9819,15,5.05
1qxl,-662.653,0,71.6731,11.5,7.96
1qy1,-278.511,0,34.251,3,6.52
1qy2,-255.618,0,29.0034,2,5.74
1qyg,-504.367,0,60.9875,4,6.85
1r0p,-688.945,0,69.7862,7.5,8
1r1h,-679.052,0,91.233,8.5,8.92
1r1j,-554.697,0,78.4529,8.5,8.64
1r4w,-409.757,0,18.3387,9,4.05
1r6n,-493.212,1,73.3227,5,7.4
1r9l,-262.748,0,0,2,5.4
1rbp,-494.297,0,112.517,5.5,6.72
1rd4,-573.36,0,85.5009,7,7.74
1rjk,-684.146,0.963874,145.45,7.5,10
1rmz,-427.005,0,22.5743,8,8
1rnm,-323.732,1.09387,3.25911,5.5,3.07
1rnt,-415.541,0,0,5.5,5.19
1ro6,-425.571,0,65.4777,4,6.46
1ro7,-866.184,0.545577,17.4613,14,3.18
1rp7,-654.357,0,27.2396,8,8.52
1rpf,-367.651,0,3.34411,5.5,3.99
1rpj,-340.93,0.981269,0,3.5,6.48
1rql,-189.937,0.143104,6.73375,1,2.75
1rr6,-463.707,0.205205,3.53056,3.5,10.25
1rtf,-269.928,0,12.1145,1.5,3.04
1s19,-643.389,0.759671,133.636,6.5,9.51
1s39,-311.915,0,30.7515,0.5,7.7
1s5z,-430.836,0.451171,0,7,3.21
1s63,-337.793,0,39.4358,5,9.05
1s89,-267.711,0.678918,0,3,5.24
1sb1,-662.588,0,70.3234,8.5,6.89
1sbg,-729.227,0,99.7895,11.5,7.74
1sbr,-387.969,0,20.8364,4,5
1sdt,-894.343,0,118.695,12,9.27
1sdu,-866.802,0,107.228,12,10.07
1sdv,-879.488,0,109.286,12,8.74
1sgu,-823.68,0,98.3118,12,5.37
1sh9,-798.724,0,71.304,15.5,6.03
1siv,-750.687,0.78292,72.7406,15,8.08
1sl3,-750.601,0,65.9079,9.5,11.85
1sld,-597.305,0,74.2629,9,6.57
1sln,-610.727,0,72.5508,12,6.64
1sqo,-469.398,0,11.1278,3.5,7.46
1sqt,-502.391,0,9.28443,4.5,6.2
1sr7,-747.012,0,89.3851,5.5,10.1
1srg,-485.324,0.428876,87.8563,3.5,5.3
1ssq,-173.45,0,0,3,6
1stc,-685.505,0,96.8347,7,8.1
1str,-600.162,0.648224,42.5919,16,4.77
1sv3,-241.188,0,21.5921,2,4.35
1sw1,-318.091,0.821679,24.5153,1,7.3
1sw2,-272.441,0.744366,0,2,7.22
1swg,-364.606,0,34.4263,5,7.36
1swr,-418.161,0.767267,32.5105,5,6.92
1syh,-450.512,0,21.9707,3.5,6.41
1szd,-688.638,1.10473,0,12,4.54
1t31,-700.722,0.837051,66.0624,6,8.64
1t32,-734.843,0,93.6463,6,7.42
1t4v,-531.254,0,69.692,10,7.68
1t5f,-259.862,0,6.35104,7.5,4.22
1t7d,-560.861,0,43.73,9.5,6.03
1t7j,-667.744,0,57.3664,11,8.7
1ta6,-671.393,0,71.2934,9.5,9.13
1tcw,-542.281,0,59.3956,11.5,6.02
1tcx,-722.764,0,103.364,11.5,6.95
1td7,-348.815,0,45.9107,4,4.37
1thz,-455.369,0.00230912,46.3249,5.5,5.15
1tjp,-482.557,0,38.8533,7.5,4.42
1tkb,-632.733,0,61.4376,8,8
1tlp,-549.684,0,33.1814,10.5,7.55
1tmn,-535.054,0,59.331,10,7.3
1tng,-221.611,0,5.83544,1.5,2.93
1tnh,-246.023,0,5.53785,1.5,3.37
1tni,-276.591,0,6.25902,4.5,4
1tog,-246.786,0,44.672,3,3.22
1toi,-233.343,0,40.2468,3,4.05
1toj,-246.091,0,43.5277,3,3.39
1tok,-188.758,0,9.38252,2,2.47
1tom,-529.12,0,69.7012,6.5,8.3
1tpw,-266.086,0.33934,0,3.5,3.3
1tq4,-541.706,0.0349516,0,7,6.19
1trd,-242.978,0,0,3.5,5.4
1tsy,-405.74,0.1345,1.23838,4.5,4.96
1ttm,-326.743,0,43.7431,2.5,7.35
1tuf,-266.622,0,27.0051,8,4.05
1tx7,-319.513,0,5.04134,2.5,4.6
1txr,-465.473,0,61.8248,8,7.74
1tys,-460.194,0,7.54581,4.5,5.49
1u0g,-292.82,1.58606,0,6.5,6.15
1u1w,-348.656,0,24.8168,2,5.85
1u33,-635.361,0,0,13,4.6
1u71,-487.659,0,35.894,5,7.48
1ua4,-519.984,0,0,5.5,4.22
1ucn,-432.698,2.28259,0,7.5,5.22
1ugp,-132.242,0.0848823,27.7673,2,2.89
1ugx,-345.579,0.693645,0.353595,9,5.91
1uho,-588.495,0,55.9069,8,9.22
1ui0,-234.28,0.88429,8.38351,0,7.06
1uj5,-346.336,0,0,8,3.05
1uj6,-307.477,0,0,8,3.05
1uml,-641.921,0,74.4416,9.5,7.52
1uou,-398.527,0.0952382,11.3536,2,7.7
1upf,-189.933,0,5.28684,0,4.6
1ur9,-730.305,0,52.9812,11.5,5.77
1usi,-384.792,0.0772611,68.3447,3.5,6.74
1usk,-289.234,0.382663,36.5568,3.5,6.4
1usn,-404.884,0,27.831,6,7.74
1utj,-232.348,0,6.97932,1.5,3.84
1utl,-237.023,0,11.52,3.5,2.47
1utm,-215.353,0,6.26683,2.5,3.01
1utn,-239.104,0,7.44614,1.5,3.49
1uv6,-277.473,0,0,4,5.12
1uvt,-593.618,0,84.3597,8,7.64
1uw6,-339.959,0,34.4188,1,7.34
1uwf,-321.811,1.70492,15.4524,7,6.82
1uwt,-355.283,0,0,3.5,5.97
1uwu,-348.131,0,0,3.5,5.98
1uz1,-306.604,0,7.71713,2.5,6.89
1uz4,-295.132,0,9.1131,2.5,3.4
1uz8,-534.538,0.891935,15.0957,12,4.96
1v0k,-373.01,1.43188,0,4.5,5.1
1v0l,-357.088,0.424165,7.4444,4,7.55
1v11,-588.971,0.00473796,33.6569,8.5,3.98
1v16,-595.109,0.0954003,33.4815,8.5,3.87
1v1j,-351.293,0.755641,10.2381,2.5,4.82
1v1m,-597.347,0.0544888,33.5497,8.5,3.94
1v2j,-269.989,0,7.53528,1.5,3.25
1v2k,-655.271,0,51.1138,4,6.19
1v2l,-264.097,0,10.4224,1.5,4.29
1v2n,-548.996,0,56.7966,6,5.9
1v2o,-406.103,0,7.74007,9.5,4.73
1v2r,-420.936,0,8.33028,9.5,3.55
1v2s,-265.921,0,8.74958,1.5,4.17
1v2t,-402.342,0,7.5658,9.5,4.71
1v2u,-264.124,0,9.4466,1.5,3.37
1v2w,-405.618,0,8.30856,9.5,4.01
1v48,-518.659,0.311886,10.9114,6.5,7.8
1v7a,-517.938,0,52.1317,6.5,8.01
1vfn,-245.876,0,0,0,5.6
1vyf,-371.027,0,75.9232,15,8.05
1vyg,-497.316,0,108.144,14,8
1vzq,-666.574,0,40.3632,5,7.44
1w0z,-564.174,0,9.06287,12,7.68
1w11,-621.815,0,14.3321,11,8.22
1w13,-636.851,0,14.1139,10.5,8.7
1w3j,-276.555,0,0,2.5,6.32
1w3k,-405.204,0,0,7,4.3
1w3l,-524.284,0.574483,0,11.5,6.28
1w4p,-342.071,0,4.21354,4.5,4.74
1w4q,-386.355,0.0517462,5.08892,4.5,5.26
1w5v,-1028.13,0,131.032,13,8.15
1w5w,-1038.7,0,129.25,13,8.8
1w5x,-1062.45,0,132.853,13,8.4
1w5y,-1013.45,0,125.011,13,8.48
1w7g,-594.995,0,35.6915,11.5,5.1
1w96,-639.101,0,74.7005,5,8.41
1w9u,-699.438,0,47.7075,10.5,6.09
1w9v,-554.552,0,51.183,8,6.34
1wc1,-529.855,0,0,9,4
1wcq,-392.244,1.35103,19.0657,8.5,6.26
1wdn,-301.995,0.883476,18.4279,4.5,6.3
1wht,-358.819,0,51.5367,4,3.7
1wm1,-386.05,0.996711,21.3035,3,6.3
1wn6,-641.085,0,32.7187,9.5,4.68
1ws1,-530.54,0,42.6503,9.5,9.55
1ws4,-260.712,0,0,4,3
1wuq,-722.288,0.013679,0,9.5,8.27
1wur,-706.697,0.163553,1.34312,9,6.66
1wvj,-447.978,0,39.8134,3.5,6.73
1x1z,-500.438,0,6.81505,5.5,11.06
1x38,-484.896,0,37.4781,4,8.77
1x39,-498.559,0,10.0605,6,9.22
1x8d,-244.138,1.56319,12.6342,2,2.21
1x8j,-355.983,0,77.0773,0.5,6.96
1x8r,-562.354,1.55413,22.428,6.5,6.12
1x8t,-534.359,1.38373,22.8144,6.5,7.8
1xap,-615.346,0,178.862,3,8.7
1xbo,-638.228,0,61.243,10,6.04
1xd0,-895.335,0.679054,8.9903,20,7.12
1xff,-313.382,0.0719923,3.25519,4.5,4.82
1xge,-253.793,0.0374445,1.02519,1,4.68
1xgi,-374.888,0,17.7779,5,4.85
1xh4,-845.986,0,65.6587,7.5,7.47
1xh5,-829.863,0,85.7853,7.5,5.47
1xh9,-848.271,0.121078,56.3997,7.5,7.77
1xhy,-378.906,0,32.2122,4,6.18
1xjd,-683.312,0,79.3201,6,9.48
1xk5,-527.336,0.520322,0,15.5,6
1xk9,-412.105,0,76.5364,3,6.85
1xka,-635.55,0,45.6643,8.5,6.88
1xkk,-821.575,0,91.357,11,8.52
1xow,-511.412,0,80.4516,0.5,9.28
1xpz,-358.668,0,29.9162,5.5,7.08
1xq0,-402.332,0,28.6294,5.5,6.34
1xr9,-1174.3,0.173542,127.867,20.5,7.15
1xt8,-222.758,1,0,3,6.85
1xug,-470.323,0,10.0263,5.5,7.05
1xws,-568.245,0,99.0486,6,8
1y0l,-437.736,0,83.4804,5.5,9
1y1z,-256.306,1.75211,27.1491,1.5,3.08
1y20,-224.86,1.94493,21.0557,1.5,5.32
1y3n,-483.189,0,9.46325,6.5,5.55
1y3p,-830.026,0,9.235,14.5,4.82
1y3v,-596.531,0,41.0741,5.5,5.64
1y3x,-567.159,0,35.5304,5.5,5.14
1y6q,-555.852,0,10.403,5,11.7
1yc4,-439.543,0,38.1362,3,6.55
1yda,-273,0,5.64175,2.5,6.55
1ydb,-294.995,0,4.99412,2.5,8.24
1ydd,-285.78,0,4.62689,2.5,7.07
1ydk,-428.767,0.882111,21.8147,15.5,5.89
1yds,-420.118,0,44.1489,5,5.92
1yei,-573.161,0,62.0242,9,7.46
1yej,-628.428,0,75.2522,13,7.46
1yet,-575.677,0,33.3392,5.5,5.92
1yfz,-297.291,0.557278,0,5,4.35
1yp9,-582.513,0,33.3529,4.5,5.11
1ype,-666.005,0,63.5553,5.5,8.1
1ypg,-670.011,0,71.1719,5.5,8
1ypj,-659.995,0,60.1445,5.5,7.02
1yq7,-296.666,0,13.8476,3.5,7.09
1yqj,-683.903,0,116.059,5,8.14
1yqy,-525.788,0,45.5877,4.5,7.62
1yvm,-288.061,0,33.9446,1,6.4
1z1h,-718.051,0,86.1502,8.5,8.4
1z4o,-432.143,0.055227,0,5,4.52
1z6s,-358.082,1,0,5,4.34
1z71,-684.478,0,86.4101,9,9.18
1z9y,-403.554,0,31.8238,5.5,7.19
1zc9,-326.881,1.12673,8.90419,5,3.22
1zdp,-351.786,0,39.7273,5.5,5.74
1zea,-684.268,0,47.4699,24,5.22
1zfk,-354.547,0,45.2923,4.5,7.92
1zfq,-290.825,0,12.773,2,7.52
1zge,-270.873,0,20.8555,2,7.3
1zgi,-621.333,0.53521,49.9425,7,5.34
1zhy,-531.719,0,129.665,5.5,6.52
1zoe,-332.226,0,37.498,1,7.4
1zog,-329.331,0,45.5388,1,7.15
1zoh,-342.402,0,45.0216,0,7
1zp8,-817.732,1.89822,74.9272,14,8.77
1zpa,-801.237,0,66.4506,16.5,8.4
1zs0,-592.25,0.359523,58.9118,6,6.15
1zsf,-884.96,0.699235,98.1744,17.5,9.92
1zvx,-601.029,1.64578,56.7346,6,9.22
2a14,-703.81,0,3.5576,8.5,5.7
2a4m,-270.194,0,21.7715,3.5,4.52
2a5b,-404.536,0,5.03821,3.5,3.93
2a5c,-382.081,0,8.08665,3.5,4.62
2a5s,-284.579,0,7.38029,4.5,6.7
2a8g,-384.612,0,7.75124,3.5,3.69
2aac,-299.895,1,14.999,2,2.22
2afw,-258.436,0,11.0883,3,4.77
2afx,-271.969,0,27.126,2,5.15
2aj8,-494.605,0,49.3177,3,6.2
2am4,-658.772,0.0762082,10.8559,11.5,3.72
2amt,-709.066,0,20.9197,13.5,4.44
2ans,-367.56,0,55.934,3,5.92
2aoc,-961.85,0.785677,87.3749,24,4.89
2aod,-956.307,0.803009,93.5534,24,5.66
2aoe,-956.447,0,78.5005,24.5,7.62
2aog,-930.447,0.78862,81.9352,23.5,6.28
2aqu,-876.407,0,101.321,14.5,9.32
2arm,-325.061,0,20.7175,4.5,7.68
2ate,-452.522,0.671149,0,6,7.07
2avm,-940.725,0.818687,93.2831,23.5,5.7
2avo,-851.215,0,106.272,12,8.85
2avq,-934.485,0.833222,91.6081,23.5,4.39
2avs,-874.782,0,103.586,12,7.57
2ax9,-482.819,0,50.2842,5.5,9.52
2ayr,-761.48,0,128.857,8.5,9.29
2azr,-392.905,0,25.2289,4,3.64
2b07,-591.44,0,28.8071,9,6.43
2b1g,-545.159,0,0,3.5,6.64
2b1i,-682.783,0,0,5,6.82
2b4l,-269.807,0,0,2,4.77
2b7d,-642.112,0,23.478,7.5,8.7
2b9a,-298.356,0.108828,60.337,2,8.05
2baj,-623.089,0,93.6116,4,8.4
2bak,-811.045,0,67.2309,10,7.43
2bal,-488.689,0,56.7076,5,6.31
2bes,-325.369,0.260794,0,6.5,4.24
2bet,-298.408,0,0,6,2.77
2bfq,-796.709,0,0,12,6.89
2bfr,-577.736,0,0,7,5.25
2bmk,-399.801,0,27.4311,7.5,5.62
2bo4,-217.483,1.91167,5.96632,4.5,4.61
2boh,-688.132,0,46.0737,6,8.52
2boj,-203.872,0,0,2.5,5.77
2bok,-589.043,0,21.759,6.5,6.55
2bpv,-764.367,0,74.9032,13,7.67
2bpy,-801.023,0,74.8112,12,7.4
2bq7,-624.068,0,49.2479,6,7.05
2bqv,-803.403,0,111.891,11,8.05
2brm,-447.215,0,46.8135,3.5,5.89
2bt9,-257.406,0,10.7469,2.5,6.19
2buv,-283.472,0,37.6374,2,4
2bvd,-407.635,0.12297,6.76174,7,6
2bvr,-419.756,0.559755,30.9,7,3.7
2bvs,-561.302,1,24.4838,15,4.1
2byr,-772.652,0,84.9015,13,8.55
2bys,-692.431,0.06513,122.14,6.5,9.52
2bz6,-600.749,0,20.8606,8.5,7.09
2bza,-236.957,0,8.45933,1.5,2.8
2c1p,-494.064,0,65.048,4.5,5.4
2c3l,-365.828,0,43.1847,0,5.07
2c80,-481.805,0.866448,32.8569,15.5,5.33
2c92,-705.888,1.77397,10.7756,12,5.68
2c94,-699.198,0.160917,10.6953,13,6.82
2c97,-402.68,0.276508,22.1803,6,6.14
2ca8,-349.884,1.7045,3.0311,10,4.66
2cbj,-451.01,0,20.8306,6.5,8.27
2cbu,-352.859,0.862237,13.0792,2,5.68
2cbz,-416.119,1.65091,0,9,3.93
2cc7,-336.874,0,22.9829,0,8.01
2ccb,-364.553,0,24.1923,7,7.45
2ccc,-348.548,0,22.8739,0,7.76
2ce9,-560.603,0.737647,87.1908,16.5,6.03
2cej,-925.558,0,132.037,11,8.62
2cen,-947.911,0,142.572,12,8.3
2ceq,-378.024,0.951468,0,3,7.28
2cer,-515.938,0,20.381,6,9.22
2ces,-374.901,0,0,3,7.25
2cex,-357.367,0.936018,9.69195,7,4.7
2cf8,-634.935,0,75.927,5.5,8.1
2cf9,-646.503,0,64.4411,6.5,7.82
2cgf,-417.959,0,38.954,1,6.41
2cgr,-578.599,0,57.6245,5,7.28
2cht,-368.143,0.0611293,20.0672,2.5,5.52
2cle,-431.029,0,55.1517,7,3.55
2clh,-530.202,0,86.7689,6,4.06
2cli,-536.159,0,56.9857,8,4.3
2clk,-290.627,0,0,5,3.79
2cn0,-656.17,0,68.1244,5.5,7.66
2csn,-333.135,0,40.5254,4.5,4.41
2ctc,-284.529,0,39.0904,3.5,3.89
2d0k,-487.984,0.0666629,33.1676,9,5.02
2d1n,-684.686,0,68.1476,18,8.15
2d1o,-623.088,0,73.3591,18,7.7
2d3u,-463.491,0,88.0088,5,6.92
2d3z,-433.619,0,87.7079,5,6.64
2doo,-556.066,0,55.2681,10.5,7.17
2drc,-524.793,0,46.9033,10,9.89
2dri,-291.445,0,0,2,6.89
2dw7,-254.257,0.0136334,0,4,4.7
2e1w,-476.447,0.746243,62.2198,5.5,7.96
2e27,-536.614,0,42.6061,5.5,9.35
2e2p,-490.881,0,0,7,4.74
2e2r,-419.55,0,107.165,3,8.26
2e5y,-456.297,0,0,9.5,5.85
2e7f,-508.706,0.086814,21.4632,8,6.1
2e91,-281.746,0,0,3.5,6.59
2e92,-346.148,0,16.3018,3.5,6.89
2e94,-491.03,0,87.6065,5.5,8
2e9u,-503.187,0,24.8471,0,8.1
2eg7,-308.232,0,1.04749,2,5.89
2eg8,-258.292,0,1.50765,1,4.5
2epn,-377.992,0.108118,15.3109,2.5,7.22
2erz,-461.294,0,53.1752,2,5.66
2euk,-873.051,0.402513,236.151,42,6.6
2eum,-582.391,0,79.7683,32.5,6.7
2evl,-729.092,0,174.189,35,6.7
2ewa,-568.037,0,110.265,2,7.94
2ewb,-320.935,0,14.987,5.5,6.1
2ews,-677.095,0.972621,0,9.5,6.62
2exm,-329.628,0,11.8426,3,4.11
2ez7,-158.354,0.103361,0.46509,3.5,4.36
2f1g,-574.947,0.151857,29.6864,9,7.54
2f2h,-625.018,0.587175,21.2229,9,5.7
2f34,-402.425,0,10.5152,6.5,6.89
2f35,-372.973,0,12.7292,6.5,5.4
2f6t,-474.765,0,56.3446,5,4.62
2f7i,-342.981,0.777857,63.8895,2,7.1
2f7o,-288.479,0,0,3,7.44
2f7p,-400.494,0,9.05739,5.5,6.6
2f80,-745.671,0,68.8834,11,8.18
2f81,-750.796,0,65.94,11,10.52
2f8g,-746.258,0,71.1292,11,8.7
2f94,-392.818,0,31.7901,8.5,6.71
2f9k,-306.421,0,0,3.5,7.07
2fdp,-828.562,1.16381,108.126,13.5,7.59
2fgu,-870.723,0,108.62,10.5,9.18
2fgv,-876.006,0,100.116,10.5,6.12
2fle,-993.501,0,113.007,16,7.85
2flr,-603.162,0,55.4825,4.5,6.1
2fmb,-888.891,1.84448,93.5952,15.5,8.7
2fpz,-293.845,0,7.39295,0.5,3.96
2fqo,-420.343,0,3.77067,10,6.43
2fqt,-415.759,0,3.9605,10,6.14
2fqw,-465.603,0,0,3.5,6.68
2fqx,-491.246,0,0,4,7.15
2fqy,-505.492,0,0,4,6.57
2fu8,-233.006,0,14.6067,3.5,4.7
2fw6,-338.516,0.693749,3.35936,4.5,2.92
2fx6,-294.805,0,7.73193,0.5,3.7
2fxu,-695.225,0,120.455,19,8.15
2fxv,-520.619,0.195101,0,5,5.35
2fzc,-308.516,0.332634,0,7,2.7
2fzg,-416.961,0,2.51455,6,3.38
2fzk,-443.249,0,2.53964,7,3.6
2g5u,-348.047,0,53.0162,2,8.49
2g70,-401.572,0,51.2102,2.5,7.77
2g71,-580.609,0,81.6126,6,7.46
2g72,-540.929,0,60.4268,3,6.5
2g8r,-311.759,0.236652,12.4658,5,3.99
2g94,-898.804,0.102648,69.6535,16.5,9.52
2g9q,-216.731,0,0,2.5,6.4
2gh9,-698.424,0,0,12.5,6
2gj5,-341.731,0,94.2502,7.5,8.32
2gkl,-230.808,0,12.1919,2,5.35
2gl0,-422.257,0,0,4,4.82
2glp,-519.155,0,52.8269,4,5.01
2gss,-261.641,0,43.7545,6,4.94
2gst,-640.182,0,60.6983,11,6.07
2gsu,-455.595,0,0,5,3.59
2gv6,-524.285,0,15.0102,9.5,7.34
2gv7,-700.794,0,15.8459,11,7.85
2gvj,-648.872,0,110.95,8,9.52
2gvv,-310.865,0,37.8158,4.5,3.9
2gyi,-277.338,0,0,5.5,7
2gz2,-431.109,0.159938,0,7,5.22
2gzl,-851.474,0.414005,61.2803,14.5,4.82
2h15,-421.829,0,15.5984,3.5,5.67
2h21,-590.383,0,1.05581,9,6.54
2h3e,-440.287,0.723308,2.82728,5,5.7
2h4g,-414.526,0,33.3473,5.5,6.52
2h4k,-406.194,0,37.0268,5,5.49
2h4n,-251.592,0,4.24497,2.5,8.7
2h5a,-305.279,0,0,3.5,5.1
2h6b,-280.723,0,47.6637,2.5,5.39
2h6t,-721.663,0,73.3341,19,7.22
2ha2,-420.798,0.0567076,21.6775,11,4.66
2ha3,-187.506,0,0,2.5,3.03
2ha5,-238.144,0,8.24648,4,4.34
2ha6,-431.755,0,22.6692,11,4.32
2hah,-541.433,0,62.0855,9.5,8
2haw,-223.418,0,0,2,4.92
2hb3,-756.002,0.551282,88.4681,12,11.35
2hf8,-739.156,0,0,9,5.47
2hhn,-717.39,0,56.4775,11,7.49
2hjb,-300.833,0.144949,36.5417,2.5,4.39
2hkf,-817.056,0,51.184,21.5,6.38
2hl4,-361.845,0,21.8574,6.5,7.64
2hmu,-577.608,0,0,9.5,7.7
2hmv,-510.597,0,0,7.5,7.7
2hnc,-226.407,0,0,2,7.22
2hnx,-357.891,0,75.8593,14,7.08
2hoc,-371.943,0,22.5911,4,9.52
2hs1,-744.401,0,69.7645,11,8.48
2hu6,-569.751,0,59.1292,4.5,3.81
2hw2,-777.404,0,99.2774,7.5,2.97
2hxm,-473.056,0.295462,16.5445,9,5.22
2hzl,-183.167,0.883001,12.9056,1.5,6.57
2hzy,-431.296,0,15.5185,6,7.39
2i0a,-767.413,0.246145,72.6357,12.5,11.4
2i19,-292.914,0,20.2162,3,7.8
2i2b,-344.69,0,0,2.5,2.44
2i2c,-642.451,0,0,9.5,4.7
2i3h,-527.576,0,52.4857,7.5,7.4
2i3i,-532.513,0,53.5156,6,7.3
2i3v,-288.538,0,14.7392,4.5,6.55
2i4d,-836.779,0.383907,59.2807,14.5,11.68
2i4j,-677.057,0,109.168,12,6.16
2i4u,-770.337,0.20722,67.7134,11.5,11.57
2i4v,-760.698,0.181288,63.1166,11.5,11.2
2i4w,-907.563,0.341884,70.9325,17.5,11.59
2i4x,-906.739,0.231624,66.6888,17.5,11.72
2i4z,-693.583,0,100.386,12,5.7
2i6b,-450.578,0,75.3355,5.5,7.17
2i80,-457.287,0,64.4728,4,5.4
2idw,-705.033,1.11333,62.8842,11,8.89
2igv,-234.158,0.865418,19.9356,4,2.23
2ihj,-773.796,1.39129,8.95846,14.5,4.59
2ihq,-559.618,0,65.8664,1,8.49
2iko,-499.528,0,67.3071,5.5,5.45
2il2,-872.637,0,85.7867,12.5,7.1
2isw,-286.529,0,0,3.5,7.43
2iuz,-578.35,0,0,3,5.55
2iw4,-219.258,0,0,2,9.3
2izl,-429.584,0,34.7362,5.5,6
